id,name,rate,rate2010,earnings,num,population,,,
29029,Camden,527,780,546277,369,41494,,,
37029,Camden,69,102,53713,370,8377,,,
48061,Cameron,722,1069,3626661,371,163874,,,
22023,Cameron,405,599,168583,372,15366,,,
42023,Cameron,23,34,94601,373,10950,,,
48063,Camp,379,561,172691,374,14423,,,
51031,Campbell,550,814,2812863,375,126127,,,
21037,Campbell,470,696,1085066,376,49001,,,
56005,Campbell,403,596,1038412,377,80291,,,
47013,Campbell,393,582,343998,378,23654,,,
46021,Campbell,273,404,26250,379,3289,,,
40017,Canadian,908,1344,965229,380,55218,,,
13043,Candler,206,305,99140,381,8634,,,
47015,Cannon,659,975,79142,382,14943,,,
16027,Canyon,1623,2402,1821263,383,120825,,,
29031,Cape Girardeau,1038,1536,1483952,384,125423,,,
34009,Cape May,146,216,1626360,385,85304,,,
42025,Carbon,129,191,597365,386,47694,,,
49007,Carbon,155,229,321666,387,19082,,,
56007,Carbon,182,269,256747,388,26994,,,
30009,Carbon,506,749,84319,389,10911,,,
16029,Caribou,304,450,159122,390,10567,,,
21039,Carlisle,277,410,43344,391,3592,,,
27017,Carlton,482,713,533116,392,35606,,,
24011,Caroline,504,746,323666,393,48945,,,
51033,Caroline,154,228,213613,394,23144,,,
24013,Carroll,961,1422,2022256,395,95936,,,
13045,Carroll,734,1086,1282108,396,48276,,,
33003,Carroll,138,204,768186,397,36899,,,
51035,Carroll,807,1194,462360,398,32178,,,
19027,Carroll,1023,1514,412955,399,35994,,,
5015,Carroll,959,1419,339055,400,42127,,,
39019,Carroll,629,931,293194,401,22378,,,
47017,Carroll,712,1054,282189,402,22640,,,
21041,Carroll,285,422,274379,403,30325,,,
18015,Carroll,520,770,230685,404,13964,,,
17015,Carroll,542,802,204148,405,15173,,,
29033,Carroll,785,1162,92987,406,22117,,,
28015,Carroll,344,509,52307,407,7418,,,
48065,Carson,275,407,297855,408,27341,,,
32510,Carson City city,21,31,1414308,409,71712,,,
40019,Carter,925,1369,774308,410,45560,,,
47019,Carter,610,903,399472,411,30880,,,
21043,Carter,882,1305,174862,412,13700,,,
29035,Carter,184,272,46975,413,5159,,,
30011,Carter,235,348,14662,414,1363,,,
37031,Carteret,92,136,730555,415,48601,,,
27019,Carver,773,1144,1544857,416,135712,,,
30013,Cascade,614,909,1427316,417,66692,,,
21045,Casey,1294,1915,121153,418,9327,,,
38017,Cass,824,1220,3425094,419,183987,,,
29037,Cass,1370,2028,776878,420,46566,,,
18017,Cass,690,1021,624217,421,38682,,,
26027,Cass,632,935,428137,422,34668,,,
48067,Cass,754,1116,373795,423,37210,,,
27021,Cass,557,824,330824,424,49353,,,
17017,Cass,334,494,217172,425,24862,,,
19029,Cass,777,1150,216273,426,18093,,,
31025,Cass,624,924,184630,427,26105,,,
16031,Cassia,614,909,358166,428,25247,,,
48069,Castro,368,545,188321,429,17533,,,
37033,Caswell,527,780,129931,430,7937,,,
22025,Catahoula,354,524,86024,431,7215,,,
37035,Catawba,454,672,3749615,432,171966,,,
13047,Catoosa,224,332,571306,433,64295,,,
35003,Catron,200,296,19901,434,2083,,,
36009,Cattaraugus,832,1231,1220754,435,51204,,,
38019,Cavalier,628,929,67911,436,11029,,,
36011,Cayuga,741,1097,1054619,437,64467,,,
24015,Cecil,386,571,1118631,438,53410,,,
19031,Cedar,894,1323,211304,439,20252,,,
31027,Cedar,906,1341,143043,440,12684,,,
29039,Cedar,760,1125,110551,441,5921,,,
42027,Centre,650,962,2863126,442,138052,,,
19033,Cerro Gordo,677,1002,942418,443,40449,,,
8015,Chaffee,131,194,212957,444,21722,,,
1017,Chambers,314,465,476721,445,36173,,,
48071,Chambers,262,388,343765,446,39805,,,
17019,Champaign,1249,1849,3967224,447,269976,,,
39021,Champaign,738,1092,495888,448,36994,,,
29041,Chariton,876,1296,84380,449,7852,,,
24017,Charles,433,641,1590870,450,90673,,,
