id,name,rate,earnings
38101,Ward,961,1185106
49053,Washington,304,1184656
37193,Wilkes,1028,1177688
48091,Comal,561,1177519
16005,Bannock,507,1167772
51179,Stafford,148,1167687
34033,Salem,642,1166350
54003,Berkeley,408,1164967
21019,Boyd,190,1159965
33001,Belknap,127,1158410
42033,Clearfield,305,1156298
41071,Yamhill,1488,1154707
22101,St. Mary,63,1150596
41059,Umatilla,1142,1150376
36079,Putnam,30,1149945
39141,Ross,637,1148166
35028,Los Alamos,4,1131907
25011,Franklin,426,1129376
39101,Marion,481,1128269
12053,Hernando,355,1122527
22105,Tangipahoa,896,1121249
36117,Wayne,773,1120983
31079,Hall,633,1120891
24015,Cecil,386,1118631
50021,Rutland,425,1115772
40101,Muskogee,1167,1109372
53025,Grant,1267,1109210
53029,Island,252,1108596
6101,Sutter,1006,1107894
16083,Twin Falls,1200,1104623
24001,Allegany,195,1103875
1043,Cullman,1953,1102894
40119,Payne,1023,1100618
47155,Sevier,796,1100482
1083,Limestone,784,1099972
45073,Oconee,595,1093969
18037,Dubois,730,1093918
18043,Floyd,305,1093181
22089,St. Charles,55,1092075
1077,Lauderdale,1048,1088781
13077,Coweta,309,1088459
28087,Lowndes,306,1087458
1045,Dale,373,1086391
21037,Campbell,470,1085066
51089,Henry,253,1079927
23003,Aroostook,727,1073350
37105,Lee,276,1073218
12017,Citrus,258,1071044
17077,Jackson,593,1070820
48361,Orange,253,1065565
28067,Jones,767,1055975
20155,Reno,1203,1054921
36011,Cayuga,741,1054619
39077,Huron,708,1053470
12113,Santa Rosa,394,1051000
26103,Marquette,77,1050812
1121,Talladega,427,1044584
56005,Campbell,403,1038412
39143,Sandusky,740,1024539
39027,Clinton,632,1023475
42037,Columbia,533,1021993
21195,Pike,51,1018971
47059,Greene,2952,1014435
37107,Lenoir,452,1013422
54069,Ohio,117,1008065
48231,Hunt,1762,1007882
15007,Kauai,369,1007849
53041,Lewis,974,1007783
55109,St. Croix,1193,1003417
42111,Somerset,863,1003035
26073,Isabella,784,1001631
37019,Brunswick,195,993727
39167,Washington,788,993205
28149,Warren,142,992182
36105,Sullivan,242,989406
50025,Windham,224,986659
1049,DeKalb,1744,985141
50027,Windsor,436,980314
26149,St. Joseph,749,978398
47031,Coffee,761,976782
17029,Coles,618,975335
56037,Sweetwater,122,973345
21151,Madison,1261,967657
4017,Navajo,286,967141
45035,Dorchester,267,966732
53071,Walla Walla,523,965698
40017,Canadian,908,965229
35025,Lea,452,962835
53027,Grays Harbor,340,961344
19057,Des Moines,562,959929
27035,Crow Wing,459,959740
45031,Darlington,298,957674
40047,Garfield,1036,955674
39081,Jefferson,338,952689
48203,Harrison,902,950523
19139,Muscatine,673,950434
42015,Bradford,1167,948831
18033,DeKalb,582,943062
